"code_region","name_region","zone","n","total_area_km2","median_area_km2"
1,"Norte","Rural",5765,3865598.39928106,191.041040390809
1,"Norte","Urbana",7281,8020.19507832809,0.158831357091095
2,"Nordeste","Rural",22027,1545295.663758,33.2757096848736
2,"Nordeste","Urbana",25349,15045.6588939692,0.125596541462268
3,"Sudeste","Rural",14259,890578.414595771,40.98695709987
3,"Sudeste","Urbana",73644,36963.514177339,0.0888524041007078
4,"Sul","Rural",11349,547519.862270323,30.8060590442882
4,"Sul","Urbana",20943,17340.0857248212,0.194989109953493
5,"Centro-Oeste","Rural",3988,1600758.6342165,200.290458211496
5,"Centro-Oeste","Urbana",8819,12716.4110616879,0.188687517666303
